사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
만능디저트,2017-04-17,폐업,2017-09-19,커피숍,"서울특별시 관악구 신림로 317, 1층 3호 (신림동)",서울특별시 관악구 신림동 1638-17 3호
카페도츠,2007-05-31,폐업,2017-10-13,커피숍,"서울특별시 관악구 호암로24길 73, 1층 (신림동)",서울특별시 관악구 신림동 1517-19 
커피쿨러 관악구청점,2010-05-20,폐업,2017-10-24,커피숍,"서울특별시 관악구 쑥고개로 123, 1층 101호 (봉천동)",서울특별시 관악구 봉천동 1568-1 
마노핀 봉천역점,2015-06-12,폐업,2017-10-27,커피숍,"서울특별시 관악구 남부순환로 1739, 1층 (봉천동)",서울특별시 관악구 봉천동 926-29 
달콤,2008-06-11,폐업,2017-10-31,커피숍,"서울특별시 관악구 신림로 73 (신림동,1층)",서울특별시 관악구 신림동 237-27 1층 
멍프린세스,2017-03-24,폐업,2017-11-01,커피숍,"서울특별시 관악구 남부순환로 1855, 1층 왼쪽 두번째호 (봉천동)",서울특별시 관악구 봉천동 1665-5 
리틀그린커반,2013-02-08,폐업,2017-11-07,커피숍,"서울특별시 관악구 신림로 169, 4층 401호 (신림동, 영창빌딩)",서울특별시 관악구 신림동 404-1 
Cf 커피,2012-07-23,폐업,2017-11-13,커피숍,"서울특별시 관악구 신림로66길 15 (신림동, 지상1층)",서울특별시 관악구 신림동 1423-33 
슈퍼사이즈 서울대입구역점,2012-08-17,폐업,2017-11-17,커피숍,"서울특별시 관악구 남부순환로 1820 (봉천동, 에그옐로우 10층 10호)",서울특별시 관악구 봉천동 862-1 
커피플랜트 브루잉 바,2010-11-15,폐업,2017-11-20,커피숍,"서울특별시 관악구 낙성대역길 8, 3층 (봉천동)",서울특별시 관악구 봉천동 1660-6 
오가다 신림역포도몰점,2015-04-03,폐업,2017-11-23,커피숍,"서울특별시 관악구 신림로 330, 9층 (신림동)",서울특별시 관악구 신림동 1641-2 
카페0,2017-07-05,폐업,2017-11-30,커피숍,"서울특별시 관악구 봉천로31길 17, 1층 (봉천동)",서울특별시 관악구 봉천동 933-7 
두두플라워,2016-07-07,폐업,2017-12-04,커피숍,"서울특별시 관악구 신림로 306, B동 1층 (신림동)",서울특별시 관악구 신림동 1641-26 
더끌림(the끌림),2015-09-30,폐업,2017-12-12,커피숍,"서울특별시 관악구 당곡길 74, 1층 (봉천동)",서울특별시 관악구 봉천동 721-6 
Seven Lakes,2012-12-17,폐업,2017-12-14,커피숍,"서울특별시 관악구 관악로 271, 1층 (봉천동)",서울특별시 관악구 봉천동 7-273 
커피집,2015-11-12,폐업,2017-12-27,커피숍,"서울특별시 관악구 남부순환로246길 17, 1층 (봉천동)",서울특별시 관악구 봉천동 1634-10 
카페온다,2016-01-04,폐업,2018-01-16,커피숍,"서울특별시 관악구 남부순환로 1692, 3층 (봉천동)",서울특별시 관악구 봉천동 947-7 
차곡차곡,2014-07-30,폐업,2018-01-22,커피숍,"서울특별시 관악구 서림3길 9, 1층 (신림동)",서울특별시 관악구 신림동 103-267 
하빈,2017-08-28,폐업,2018-01-22,커피숍,"서울특별시 관악구 법원단지5길 5, 1층 (신림동)",서울특별시 관악구 신림동 608-18 
카페모퉁이,2015-02-04,폐업,2018-01-23,커피숍,"서울특별시 관악구 청림2길 31-17, 지하1층 (봉천동)",서울특별시 관악구 봉천동 14-71 
Grit Coffee Lab(그릿커피랩),2010-10-20,폐업,2018-01-29,커피숍,"서울특별시 관악구 쑥고개로 99, 1층 (봉천동)",서울특별시 관악구 봉천동 1566-24 
스터디카페브릭스(study cafe bricks),2016-04-26,폐업,2018-02-01,커피숍,"서울특별시 관악구 은천로 172-1, 2층 (봉천동)",서울특별시 관악구 봉천동 41-739 
명랑핫도그(서울대입구역점),2016-07-04,폐업,2018-02-12,커피숍,"서울특별시 관악구 관악로 183, 1층 (봉천동)",서울특별시 관악구 봉천동 861-4 
수 커피볶는집,2006-12-07,폐업,2018-02-22,커피숍,"서울특별시 관악구 호암로22길 31, 1층 (신림동)",서울특별시 관악구 신림동 1533-14 
여행카페,2017-10-26,폐업,2018-03-02,커피숍,"서울특별시 관악구 남부순환로187길 15, 1층 (신림동)",서울특별시 관악구 신림동 1413-5 
레드퍽,2015-11-11,폐업,2018-03-06,커피숍,"서울특별시 관악구 남부순환로 1820, 10층 (봉천동)",서울특별시 관악구 봉천동 862-1 
커피아띠,2013-11-25,폐업,2018-03-13,커피숍,"서울특별시 관악구 신림로 303, 1층 (신림동)",서울특별시 관악구 신림동 1637-8 
별하,2018-01-24,폐업,2018-03-19,커피숍,"서울특별시 관악구 서림3길 9, 1층 (신림동)",서울특별시 관악구 신림동 103-267 
차이카페,2014-07-28,폐업,2018-03-22,커피숍,"서울특별시 관악구 조원로 117, 1층 (신림동)",서울특별시 관악구 신림동 503-37 
